# col1 col2 u-g     g-r     col5   col6  col7  col8  col9  col10 col11 col12
  3.1  O6V  -1.494  -0.299  -0.753 0.504 0.028 1.28  0.834 2.031 1.584 2.761
  3.1  O8V  -1.463  -0.287  -0.722 0.514 0.058 1.288 0.864 2.037 1.61  2.765
  3.1  O9V  -1.446  -0.282  -0.705 0.518 0.075 1.292 0.88  2.04  1.624 2.768
  3.1  B0V  -1.433  -0.271  -0.692 0.529 0.087 1.301 0.891 2.05  1.632 2.777
  3.1  B1V  -1.324  -0.24   -0.584 0.558 0.195 1.329 0.995 2.076 1.719 2.802
  3.1  B2V  -1.209  -0.218  -0.47  0.579 0.307 1.35  1.104 2.096 1.808 2.821
  3.1  B3V  -1.053  -0.186  -0.315 0.61  0.46  1.379 1.25  2.125 1.923 2.849
  3.1  B5V  -0.828  -0.139  -0.092 0.655 0.68  1.423 1.46  2.166 2.08  2.89 
  3.1  B6V  -0.728  -0.121  0.0070 0.672 0.776 1.439 1.55  2.182 2.144 2.905
  3.1  B7V  -0.58   -0.1    0.152  0.692 0.918 1.458 1.682 2.2   2.234 2.922
  3.1  B8V  -0.388  -0.076  0.34   0.714 1.101 1.478 1.85  2.219 2.344 2.94 
  3.1  B9V  -0.198  -0.046  0.528  0.742 1.285 1.504 2.019 2.244 2.445 2.964
  3.1  A0V  -0.053  -0.0050 0.675  0.78  1.431 1.54  2.153 2.277 2.514 2.995
  3.1  A1V  -0.019  0.0050  0.709  0.79  1.464 1.55  2.181 2.287 2.525 3.005
  3.1  A2V  0.021   0.025   0.749  0.809 1.505 1.568 2.217 2.304 2.538 3.021
  3.1  A3V  0.038   0.059   0.771  0.84  1.531 1.597 2.241 2.332 2.541 3.048
  3.1  A5V  0.067   0.125   0.805  0.904 1.567 1.658 2.269 2.39  2.523 3.105
  3.1  A7V  0.044   0.199   0.788  0.975 1.554 1.726 2.252 2.456 2.474 3.169
  3.1  F0V  -0.026  0.329   0.728  1.101 1.501 1.849 2.192 2.577 2.356 3.288
  3.1  F2V  -0.049  0.387   0.709  1.157 1.486 1.904 2.171 2.63  2.304 3.341
  3.1  F5V  -0.066  0.495   0.701  1.26  1.483 2.003 2.155 2.726 2.22  3.434
  3.1  F8V  -0.04   0.576   0.734  1.337 1.52  2.076 2.173 2.796 2.168 3.502
  3.1  G0V  -0.0010 0.63    0.779  1.388 1.566 2.124 2.201 2.842 2.14  3.547
  3.1  G2V  0.042   0.67    0.825  1.425 1.612 2.16  2.23  2.877 2.12  3.58 
  3.1  G5V  0.162   0.756   0.952  1.507 1.736 2.238 2.306 2.952 2.073 3.653
  3.1  G8V  0.355   0.845   1.149  1.593 1.924 2.321 2.414 3.035 2.024 3.735
  3.1  K0V  0.451   0.904   1.247  1.649 2.012 2.376 2.446 3.088 1.967 3.787
  3.1  K1V  0.523   0.939   1.319  1.683 2.077 2.409 2.471 3.12  1.934 3.819
  3.1  K2V  0.602   0.978   1.398  1.722 2.145 2.447 2.492 3.158 1.893 3.857
  3.1  K3V  0.756   1.049   1.55   1.791 2.275 2.516 2.523 3.226 1.816 3.925
  3.1  K4V  0.841   1.092   1.634  1.833 2.342 2.558 2.528 3.268 1.762 3.966
  3.1  K5V  1.064   1.198   1.848  1.938 2.501 2.661 2.512 3.37  1.609 4.067
  3.1  K7V  1.364   1.386   2.116  2.122 2.61  2.841 2.261 3.545 1.173 4.238
  3.1  M0V  1.348   1.394   2.095  2.131 2.566 2.85  2.174 3.553 1.068 4.245
  3.1  M1V  1.311   1.422   2.046  2.16  2.462 2.878 1.981 3.58  0.842 4.268
  3.1  M2V  1.238   1.425   1.959  2.165 2.318 2.884 1.754 3.585 0.587 4.273
