#RA2000 DEC2000
156.04305 -57.82985
156.04306 -57.82985
156.04342 -57.82849
156.04342 -57.82849
156.04491 -57.83086
156.04491 -57.83085
156.04524 -57.83124
156.04672 -57.83090
155.99359 -57.80737
155.99481 -57.81429
155.99479 -57.81428
155.99673 -57.80866
155.99892 -57.81536
155.99894 -57.81538
156.00108 -57.81617
156.00106 -57.81617
156.00396 -57.81955
156.00396 -57.81956
156.00516 -57.82243
156.00514 -57.82243
156.00682 -57.81581
156.00672 -57.81736
156.00670 -57.81736
156.00920 -57.82147
156.00919 -57.82147
156.00964 -57.81516
156.00963 -57.81516
156.01349 -57.81718
156.01350 -57.81719
156.01353 -57.81785
156.01355 -57.81787
156.01673 -57.82651
156.01671 -57.82651
156.01831 -57.82527
156.01830 -57.82527
156.02044 -57.82233
156.02043 -57.82233
156.02056 -57.82490
156.02054 -57.82489
156.02103 -57.82667
156.02121 -57.81842
156.02121 -57.81841
156.02105 -57.82666
156.02195 -57.82384
156.02193 -57.82384
156.02279 -57.82623
156.02278 -57.82623
156.02463 -57.81990
156.02487 -57.82850
156.02488 -57.82853
156.02543 -57.82255
156.02538 -57.82258
156.02700 -57.82020
156.02699 -57.82019
156.02801 -57.82618
156.02823 -57.82361
156.02823 -57.82363
156.02846 -57.82681
156.02844 -57.82681
156.03004 -57.82164
156.02997 -57.82165
156.03408 -57.82339
156.03455 -57.82786
156.03454 -57.82786
156.03504 -57.82891
156.03604 -57.82635
156.03596 -57.82778
156.03595 -57.82778
156.03605 -57.82635
156.03648 -57.83070
156.03780 -57.82555
156.03780 -57.82555
156.03795 -57.82705
156.03794 -57.82704
156.03793 -57.82791
156.03793 -57.82791
156.04035 -57.82701
156.04035 -57.82701
155.96983 -57.79119
155.97085 -57.79228
155.97448 -57.79345
155.97448 -57.79343
155.97661 -57.80005
155.97874 -57.79626
155.97901 -57.80331
155.97945 -57.80168
155.97981 -57.80047
155.97987 -57.80093
155.97990 -57.80571
155.98552 -57.81202
155.98629 -57.80640
155.98683 -57.81284
155.98726 -57.80251
155.98688 -57.80902
155.98752 -57.81093
155.98803 -57.80112
155.98803 -57.80197
155.98998 -57.80275
155.99302 -57.80306
156.11381 -57.82076
156.11383 -57.82077
156.11412 -57.82198
156.11411 -57.82198
156.11604 -57.81801
156.11646 -57.81925
156.11646 -57.81927
156.11969 -57.81165
156.12023 -57.81257
156.12023 -57.81559
156.12096 -57.81366
156.12144 -57.81938
156.12205 -57.81582
156.12364 -57.81096
156.12637 -57.81366
156.12755 -57.80559
156.12844 -57.81560
156.12833 -57.81565
156.12875 -57.81695
156.12874 -57.81697
156.12917 -57.81036
156.12927 -57.81230
156.12923 -57.81294
156.13206 -57.81353
156.13523 -57.81248
156.04735 -57.82423
156.04736 -57.82424
156.04784 -57.82163
156.04785 -57.82163
156.04884 -57.82230
156.04885 -57.82229
156.04924 -57.82094
156.04926 -57.82095
156.05103 -57.81996
156.05145 -57.83155
156.05314 -57.82033
156.05415 -57.83000
156.05441 -57.82205
156.05463 -57.82517
156.05503 -57.82094
156.05543 -57.81197
156.05542 -57.82412
156.05541 -57.82412
156.05571 -57.82528
156.05613 -57.81589
156.05612 -57.81592
156.05664 -57.82764
156.05666 -57.82766
156.05708 -57.81957
156.05709 -57.81958
156.05872 -57.81605
156.05889 -57.82534
156.05888 -57.82534
156.05917 -57.80873
156.05926 -57.82045
156.05922 -57.82045
156.05993 -57.81417
156.06024 -57.81535
156.06025 -57.81536
156.06040 -57.81974
